ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Phone,Browser,Software,Site2,10,Critical
Phone,Printer,Service,Site4,10,High
Phone,Printer,Service,Site26,10,Medium
Phone,IntranetSO,Network,Site34,10,Medium
Phone,Printer,Service,Site5,10,Critical
Phone,IntranetDC2,Service,Site2,10,Critical
Phone,IPPhone,Telecommunication,Site18,10,Critical
Phone,Browser,Service,Site2,10,High
Phone,Printer,Service,Site1,10,Medium
Email,IPPhone,Telecommunication,Site5,10,Medium
Phone,IntranetHO,Network,Site1,10,Medium
Phone,AppSystem,Software,Site29,10,Medium
Email,AppSystem,Software,Site29,10,Critical
Phone,Notebook,Functionality,Site1,10,Medium
Phone,IntranetDC1,Functionality,Site5,10,High
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,Infrastructure,Software,Site2,8,Medium
Phone,Printer,Service,Site23,7,Medium
Phone,AppIM,Software,Site3,18,High
Phone,Infrastructure,Software,Site5,16,Medium
Phone,PCDesktop,Functionality,Site5,16,Medium
Phone,AppSystem,Service,Site1,15,High
Phone,OSClient,Software,Site2,15,High
Phone,IntranetHO,Service,Site4,15,Critical
Phone,Infrastructure,Software,Site21,15,High
Email,VideoConf,Service,Site1,15,Medium
Phone,IPPhone,Telecommunication,Site1,14,Medium
Phone,IntranetDC2,Functionality,Site2,14,High
Email,IntranetSO,Account,Site16,14,High
Phone,IntranetDC2,Network,Site1,14,Medium
Email,IntranetRO,Performance,Site4,14,High
Phone,AppBK,Software,Site1,13,Critical
Phone,IPPhone,Telecommunication,Site2,11,High
Phone,IntranetRO,Service,Site34,11,Medium
Phone,Printer,Service,Site1,10,Medium
Phone,Printer,Service,Site2,10,Medium
Phone,Telecommunication,Service,Site37,10,Medium
Email,AppIM,Service,Site1,10,Medium
Phone,SecSoftware,Service,Site1,10,Medium
Phone,PCDesktop,Functionality,Site1,10,High
Phone,IntranetDC1,Functionality,Site5,10,Medium
Phone,IntranetHO,Service,Site35,10,Medium
Phone,Browser,Service,Site5,10,Medium
Phone,IntranetDC2,Service,Site3,10,Medium
Phone,IntranetDC2,Functionality,Site1,10,Medium
Phone,IntranetDC2,Functionality,Site5,10,High
Phone,IntranetDC2,Network,Site1,10,High
Phone,PCDesktop,Functionality,Site4,10,Medium
Phone,PCDesktop,Performance,Site4,10,High
Phone,Printer,Service,Site2,10,High
Phone,Browser,Software,Site2,10,Medium
Phone,Monitor,Software,Site2,10,Critical
Phone,Telecommunication,Telecommunication,Site1,10,Medium
Phone,IntranetDC2,Network,Site1,9,Medium
Phone,IntranetRO,Network,Site34,8,Medium
Email,AppIM,Functionality,Site2,17,Critical
Phone,Infrastructure,Software,Site27,16,Medium
Phone,IntranetDC1,Network,Site5,16,Medium
Phone,Telecommunication,Service,Site5,16,Medium
Phone,AppIM,Software,Site6,14,High
Phone,Mouse,Functionality,Site4,14,Medium
Phone,AppSystem,Software,Site1,14,Medium
Phone,Printer,Service,Site1,14,Medium
Phone,AppIM,Service,Site4,14,Medium
Phone,ProcessingUnit,Service,Site4,14,Medium
Phone,IntranetDC2,Functionality,Site1,14,High
Email,IntranetDC2,Network,Site2,14,High
Phone,PCDesktop,Functionality,Site4,14,High
Phone,Monitor,Software,Site5,14,Medium
Phone,IntranetDC2,Functionality,Site2,13,Medium
Phone,AppSystem,Service,Site1,13,Medium
Phone,PCDesktop,Functionality,Site1,14,Medium
Email,IntranetRO,Functionality,Site9,13,High
Phone,Infrastructure,Software,Site4,13,High
Email,AppIM,Account,Site31,12,Critical
Phone,IntranetDC1,Service,Site5,11,Medium
Phone,Printer,Hardware,Site4,11,Critical
Phone,OSClient,Software,Site4,11,High
Phone,IntranetDC1,Network,Site5,11,Medium
Official Memo,VideoConf,Telecommunication,Site1,11,High
Email,Telecommunication,Account,Site31,11,High
Phone,Browser,Software,Site2,10,High
Email,AppIM,Account,Site31,11,Critical
Phone,AppIM,Software,Site1,10,Medium
Email,AppBK,Functionality,Site21,10,Medium
Email,IntranetHO,Account,Site4,10,High
Phone,Printer,Service,Site4,10,Medium
Phone,AppSystem,Software,Site18,9,Medium
Phone,Browser,Service,Site29,9,Medium
Phone,OSServer,Software,Site1,9,Critical
Phone,Printer,Hardware,Site2,9,Critical
Phone,AppSystem,Service,Site1,9,High
Phone,Telecommunication,Performance,Site5,9,Medium
Phone,IntranetHO,Service,Site1,9,Medium
Phone,SecSoftware,Software,Site2,9,Critical
Phone,Browser,Software,Site2,9,Medium
Phone,PCDesktop,Service,Site4,9,Critical
Phone,AppSystem,Software,Site1,9,Critical
Phone,Telecommunication,Telecommunication,Site4,9,Medium
Phone,Printer,Service,Site23,9,Medium
Phone,AppSystem,Software,Site23,8,Medium
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,Scanner,Service,Site1,8,Medium
Phone,Printer,Service,Site4,8,Medium
Phone,IntranetDC2,Functionality,Site1,8,Medium
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,PCDesktop,Functionality,Site1,8,Medium
Phone,Printer,Service,Site2,8,High
Phone,Printer,Service,Site3,8,Medium
Phone,Infrastructure,Software,Site4,8,Medium
Phone,PCDesktop,Functionality,Site1,8,Medium
Phone,ProcessingUnit,Software,Site5,7,Medium
Phone,IntranetHO,Functionality,Site4,18,Medium
Phone,Infrastructure,Account,Site18,18,Critical
Email,AppBK,Functionality,Site25,17,Medium
Email,AppBK,Functionality,Site25,17,High
Phone,AppIM,Functionality,Site4,17,High
Phone,Browser,Software,Site1,16,Medium
Email,AppBK,Account,Site3,16,High
Phone,PCDesktop,Hardware,Site1,16,Medium
Phone,SecSoftware,Account,Site9,16,Medium
Phone,SecSoftware,Software,Site1,15,Medium
Phone,Printer,Functionality,Site1,15,High
Email,AppIM,Software,Site4,15,High
Phone,AppIM,Functionality,Site3,15,Medium
Phone,Infrastructure,Software,Site18,15,High
Phone,Peripheral,Account,Site2,15,Critical
Phone,Browser,Software,Site1,14,Medium
Phone,AppIM,Functionality,Site1,14,Medium
Email,IntranetSO,Network,Site1,14,Medium
Phone,IntranetHO,Network,Site4,14,High
Phone,Telecommunication,Service,Site1,14,High
Phone,IntranetDC1,Network,Site5,14,Medium
Email,Browser,Software,Site5,14,Medium
Phone,IntranetDC1,Service,Site5,14,Critical
Phone,IntranetHO,Network,Site4,14,Medium
Phone,IntranetHO,Network,Site2,13,High
Phone,IntranetDC1,Functionality,Site5,13,High
Phone,Infrastructure,Performance,Site4,11,Critical
Phone,PCDesktop,Functionality,Site2,11,Critical
Email,IntranetHO,Network,Site4,11,High
Phone,Printer,Functionality,Site5,11,Medium
Phone,IntranetHO,Network,Site4,11,Medium
Phone,IntranetDC2,Network,Site3,10,Medium
Phone,IntranetHO,Network,Site5,10,Medium
Phone,Telecommunication,Functionality,Site5,10,Medium
Phone,PCDesktop,Functionality,Site5,10,Medium
Phone,Printer,Service,Site4,10,Medium
Email,AppBK,Software,Site16,10,Medium
